
Date,Opponent,Home/Away,Tournament,Result,Overtime,Davidson record after game,Opponent record after game,Top scorer (Davidson),Top scorer (Opponent),Bench points (DAV/OPP),Turnovers (DAV/OPP),FG% (DAV/OPP),3PT% (DAV/OPP),FT% (DAV/OPP),Rebounds (DAV/OPP),Largest lead (DAV/OPP)
"Nov 3, 2025","DeSales","Home","Regular season","Win 97–63","No","1-0","0-1","Hunter Adam (18 pts)","Brendan Boyle (17 pts)","55 / 34","7 / 18","51% / 41%","38% / 38%","79% / 61%","37 / 27","39 / 0"
"Dec 22, 2025","Kansas","Away","Regular season","Loss 61–90","No","8-4","10-3","Roberts Blums (13 pts)","Flory Bidunga (18 pts)","34 / 23","16 / 15","36% / 58%","37% / 52%","33% / 100%","31 / 42","0 / 35"
"Dec 30, 2025","Duquesne","Home","Atlantic 10 regular season","Loss 83–89 (2OT)","2OT","8-5","9-5","Sam Brown (23 pts)","Tarence Guinyard (24 pts)","32 / 33","6 / 12","39% / 41%","30% / 46%","80% / 81%","39 / 53","6 / 9"
"Nov 21, 2023","Boston University","Home","Regular season","Win 69–45","No","3-2","1-4","Connor Kochera (23 pts)","Matai Baptiste (10 pts)","6 / 21","9 / 11","48% / 34%","26% / 22%","67% / 50%","41 / 29","27 / 0"
