Game_ID,Date,Season,Opponent,Home_Away_Neutral,Game_Type,Location,Davidson_Record_After,Opponent_Record_After,Davidson_Final_Points,Opponent_Final_Points,Result,Point_Differential,Overtime,Overtime_Periods,Davidson_First_Half_Points,Opponent_First_Half_Points,Davidson_Second_Half_Points,Opponent_Second_Half_Points,Halftime_Leader,Halftime_Margin,Second_Half_Differential,Comeback_Win,Blew_Halftime_Lead,Game_Flow_Tag,Davidson_FG_Made,Davidson_FG_Attempted,Davidson_FG_Percentage,Opponent_FG_Made,Opponent_FG_Attempted,Opponent_FG_Percentage,Davidson_3PT_Made,Davidson_3PT_Attempted,Davidson_3PT_Percentage,Opponent_3PT_Made,Opponent_3PT_Attempted,Opponent_3PT_Percentage,Davidson_FT_Made,Davidson_FT_Attempted,Davidson_FT_Percentage,Opponent_FT_Made,Opponent_FT_Attempted,Opponent_FT_Percentage,Davidson_Rebounds,Opponent_Rebounds,Rebound_Differential,Davidson_Offensive_Rebounds,Opponent_Offensive_Rebounds,Davidson_Defensive_Rebounds,Opponent_Defensive_Rebounds,Davidson_Assists,Opponent_Assists,Davidson_Turnovers,Opponent_Turnovers,Turnover_Differential,Davidson_Steals,Opponent_Steals,Davidson_Blocks,Opponent_Blocks,Davidson_Bench_Points,Opponent_Bench_Points,Bench_Point_Differential,Davidson_Points_In_Paint,Opponent_Points_In_Paint,Davidson_Points_Off_Turnovers,Opponent_Points_Off_Turnovers,Davidson_Second_Chance_Points,Opponent_Second_Chance_Points,Davidson_Fast_Break_Points,Opponent_Fast_Break_Points,Lead_Changes,Times_Tied,Davidson_Largest_Lead,Opponent_Largest_Lead,Game_Winning_Shot,Clutch_Game,Davidson_Technical_Fouls,Opponent_Technical_Fouls,Total_Technical_Fouls,Davidson_Flagrant_Fouls,Opponent_Flagrant_Fouls,Total_Flagrant_Fouls,Top_Scorer_Davidson,Top_Scorer_Davidson_Points,Top_Scorer_Davidson_Rebounds,Top_Scorer_Davidson_Assists,Top_Scorer_Davidson_Minutes,Second_Key_Player_Davidson,Second_Key_Player_Davidson_Statline,Third_Key_Player_Davidson,Third_Key_Player_Davidson_Statline,Top_Scorer_Opponent,Top_Scorer_Opponent_Points,Top_Scorer_Opponent_Rebounds,Top_Scorer_Opponent_Assists,Top_Scorer_Opponent_Minutes,Double_Doubles_Davidson,Triple_Doubles_Davidson,Double_Doubles_Opponent,Triple_Doubles_Opponent
20241122081135-2550957,11/22/24,2024-25,VMI,Home,Regular Season,"Belk Arena, Davidson, NC",5-0,4-4,93,66,W,27,No,0,48,30,45,36,Davidson,18,9,0,0,Blowout win,33,66,50.0,20,49,40.8,13,32,40.6,6,21,28.6,14,15,93.3,20,28,71.4,34,31,3,9,7,25,24,28,13,8,15,-7,12,3,2,3,22,15,7,38,28,19,7,5,4,12,8,0,0,0 0,0 0,,0,0,0,0,0,0,0,"Bailey,Reed",23,8,6,28,"Durkin,Bobby","19 pts, 3 reb, 2 ast","Loughnane,Mike","13 pts, 2 reb, 6 ast","Johnson,TJ",21,3,1,32,0,0,0,0
20241127090859-2529723,11/27/24,2024-25,Arizona,Neutral,Regular Season,"Atlantis Resort, Paradise Island, Bahamas",4-2,4-2,71,104,L,-33,No,0,37,49,34,55,Opponent,12,-21,0,0,Blowout loss,27,71,38.0,39,69,56.5,11,34,32.4,11,22,50.0,6,8,75.0,15,20,75.0,31,47,-16,10,12,21,35,16,15,12,14,-2,8,7,1,6,14,43,-29,28,50,12,14,12,17,1,13,3,3,0 0,0 0,,0,0,0,0,0,0,0,"Kochera,Connor",20,4,2,29,"Durkin,Bobby","15 pts, 6 reb, 5 ast","Bailey,Reed","9 pts, 4 reb, 2 ast","Dell'Orso,Anthony",21,1,1,18,0,0,1,0
20241206083737-2550967,12/06/24,2024-25,Charleston So.,Home,Regular Season,"Belk Arena, Davidson, NC",7-2,3-9,73,72,W,1,No,0,37,31,36,41,Davidson,6,-5,0,0,Close win,27,59,45.8,27,59,45.8,6,15,40.0,9,21,42.9,13,18,72.2,9,18,50.0,31,38,-7,6,11,25,27,13,10,6,11,-5,4,3,2,1,9,16,-7,34,30,16,6,4,14,4,7,7,4,0 0,0 0,,1,0,0,0,0,0,0,"Bailey,Reed",25,7,5,34,"Kochera,Connor","21 pts, 5 reb, 5 ast","Logan,Sean","9 pts, 5 reb, 0 ast","Kelly,Taje'",22,11,2,40,0,0,2,0
20241210082247-2550968,12/10/24,2024-25,Charlotte,Home,Regular Season,"Belk Arena, Davidson, NC",8-2,4-5,75,71,W,4,No,0,41,44,34,27,Opponent,3,7,1,0,Comeback win,27,55,49.1,25,54,46.3,10,29,34.5,7,23,30.4,11,19,57.9,14,19,73.7,34,33,1,14,13,20,20,17,10,6,5,1,4,4,4,3,20,8,12,30,28,8,2,19,15,2,0,4,4,0 0,0 0,,1,0,0,0,0,0,0,"Bailey,Reed",18,7,5,35,"Durkin,Bobby","14 pts, 3 reb, 2 ast","Blums,Roberts","13 pts, 0 reb, 1 ast","Graves,Nik",23,3,3,38,0,0,0,0
20241214080133-2550979,12/14/24,2024-25,Detroit Mercy,Home,Regular Season,"Belk Arena, Davidson, NC",9-2,5-8,86,51,W,35,No,0,43,16,43,35,Davidson,27,8,0,0,Blowout win,30,61,49.2,19,60,31.7,15,34,44.1,6,17,35.3,11,14,78.6,7,12,58.3,45,30,15,13,12,32,18,18,7,13,13,0,9,8,5,4,27,5,22,28,8,23,10,15,10,15,4,2,2,0 0,0 0,,0,0,0,0,0,0,0,"Durkin,Bobby",19,5,3,25,"Bailey,Reed","17 pts, 7 reb, 3 ast","Kochera,Connor","17 pts, 6 reb, 2 ast","Geeter,Legend",17,3,0,27,0,0,0,0
20241221061249-2532300,12/21/24,2024-25,Bethune-Cookman,Home,Regular Season,"Belk Arena, Davidson, NC",10-3,3-10,76,63,W,13,No,0,41,34,35,29,Davidson,7,6,0,0,Controlled win,27,51,52.9,21,52,40.4,9,19,47.4,4,18,22.2,13,19,68.4,17,27,63.0,33,28,5,7,7,26,21,14,6,13,14,-1,6,10,1,3,2,9,-7,36,34,9,14,9,10,10,19,1,2,0 0,0 0,,0,0,0,0,0,0,0,"Durkin,Bobby",23,10,1,36,"Bailey,Reed","19 pts, 6 reb, 5 ast","Laput,Zach","15 pts, 4 reb, 3 ast","Ward Jr.,Reggie",14,7,1,34,1,0,0,0
20241228032655-2539102,12/28/24,2024-25,Eastern Mich.,Home,Regular Season,"Belk Arena, Davidson, NC",11-3,6-7,86,64,W,22,No,0,41,21,45,43,Davidson,20,2,0,0,Blowout win,26,49,53.1,23,57,40.4,12,24,50.0,9,27,33.3,22,31,71.0,9,12,75.0,36,23,13,6,4,30,19,16,12,10,11,-1,4,4,1,1,7,19,-12,28,28,16,12,8,6,3,5,0,0,0 0,0 0,,0,0,1,1,0,0,0,"Kochera,Connor",34,5,3,36,"Durkin,Bobby","17 pts, 5 reb, 3 ast","Loughnane,Mike","12 pts, 2 reb, 4 ast","Nelson,Da'Sean",16,4,1,33,0,0,0,0
20241231033737-2551050,12/31/24,2024-25,George Mason,Away,Regular Season,"EagleBank Arena, Fairfax, VA",10-5,11-4,57,69,L,-12,No,0,30,35,27,34,Opponent,5,-7,0,0,Controlled loss,21,50,42.0,24,43,55.8,9,22,40.9,8,20,40.0,6,11,54.5,13,21,61.9,21,32,-11,3,4,18,28,12,14,10,10,0,6,5,1,5,11,10,1,18,30,9,18,5,2,0,4,4,3,0 0,0 0,,0,0,0,0,0,0,0,"Bailey,Reed",20,3,2,29,"Laput,Zach","11 pts, 2 reb, 0 ast","Adam,Hunter","11 pts, 1 reb, 1 ast","O'Connor,Brayden",19,4,3,32,0,0,0,0
20250116011405-2551055,01/15/25,2024-25,La Salle,Away,Regular Season,"John E. Glaser Arena, Philadelphia, PA",12-6,11-7,76,79,L,-3,No,0,41,33,35,46,Davidson,8,-11,0,1,Blew halftime lead,30,62,48.4,28,62,45.2,10,29,34.5,7,22,31.8,6,8,75.0,16,23,69.6,33,39,-6,7,12,26,27,19,16,12,9,3,7,8,1,1,6,15,-9,38,38,16,22,7,11,5,10,1,0,0 0,0 0,,1,0,0,0,0,0,0,"Bailey,Reed",21,5,4,36,"Durkin,Bobby","20 pts, 8 reb, 3 ast","Kochera,Connor","14 pts, 2 reb, 3 ast","Jones,Deuce",20,2,5,40,0,0,0,0
20260103074514-2749421,01/03/26,2025-26,Saint Joseph's,Away,Regular Season,"Michael J. Hagan Arena '85 , Philadelphia, PA",10-5,8-8,62,56,W,6,No,0,20,29,42,27,Opponent,9,15,1,0,Comeback win,21,49,42.9,19,50,38.0,7,21,33.3,3,22,13.6,13,16,81.2,15,21,71.4,31,26,5,11,9,20,17,6,8,14,11,3,4,4,1,3,26,19,7,24,28,9,13,15,9,4,8,3,2,0 0,0 0,,0,0,0,0,0,0,0,"Brown,Sam",13,2,2,23,"Blums,Roberts","11 pts, 2 reb, 0 ast","Friedrichsen,Parker","10 pts, 3 reb, 0 ast","Ajogbor,Justice",11,6,1,26,0,0,0,0
20260108035138-2742912,01/07/26,2025-26,Loyola Chicago,Away,Regular Season,"Joseph J. Gentile Arena, Chicago, IL",11-5,5-12,79,64,W,15,No,0,45,36,34,28,Davidson,9,6,0,0,Controlled win,27,58,46.6,23,59,39.0,14,32,43.8,6,23,26.1,11,17,64.7,12,21,57.1,36,36,0,10,14,26,22,22,16,10,12,-2,7,8,6,3,35,27,8,22,30,17,14,11,15,11,11,0,1,0 0,0 0,,0,0,0,0,0,0,0,"Friedrichsen,Parker",27,2,0,25,"Blums,Roberts","15 pts, 5 reb, 2 ast","Coval,Nick","11 pts, 1 reb, 4 ast","Anderson,Nicolus",13,2,2,28,0,0,0,0
20260121090912-2742445,01/21/26,2025-26,Fordham,Home,Regular Season,"Belk Arena, Davidson, NC",13-6,10-11,68,63,W,5,No,0,26,30,42,33,Opponent,4,9,1,0,Comeback win,25,58,43.1,27,50,54.0,4,23,17.4,5,12,41.7,14,19,73.7,4,7,57.1,32,29,3,13,6,19,23,6,7,11,18,-7,10,7,3,2,33,10,23,36,38,22,7,8,8,10,5,8,6,0 0,0 0,,1,0,0,0,0,0,0,"Scovens,Josh",19,2,1,26,"Blums,Roberts","14 pts, 4 reb, 1 ast","Coval,Nick","7 pts, 0 reb, 1 ast","Reaves,DeJour",22,5,1,36,0,0,0,0
20260131062017-2743869,01/31/26,2025-26,Richmond,Away,Regular Season,"Robins Center, Richmond, VA",14-8,13-11,79,54,W,25,No,0,34,15,45,39,Davidson,19,6,0,0,Blowout win,32,60,53.3,18,50,36.0,13,25,52.0,7,27,25.9,2,4,50.0,11,16,68.8,36,23,13,14,9,22,14,18,9,9,10,-1,7,5,0,4,40,24,16,34,14,9,8,18,14,6,6,0,0,0 0,0 0,,0,0,0,0,0,0,0,"Blums,Roberts",23,6,0,19,"Friedrichsen,Parker","15 pts, 4 reb, 3 ast","Scovens,Josh","14 pts, 5 reb, 1 ast","Johnston,Will",11,3,2,34,0,0,0,0
20260213123636-2742925,02/06/26,2025-26,Loyola Chicago,Home,Regular Season,"Belk Arena, Davidson, NC",15-9,6-20,84,64,W,20,No,0,47,29,37,35,Davidson,18,2,0,0,Blowout win,32,57,56.1,23,47,48.9,12,26,46.2,6,16,37.5,8,10,80.0,12,21,57.1,26,28,-2,7,10,19,18,16,11,9,15,-6,8,3,3,4,35,30,5,34,34,23,6,4,9,17,3,0,0,0 0,0 0,,0,0,0,0,0,0,0,"Blums,Roberts",16,0,1,22,"Friedrichsen,Parker","15 pts, 3 reb, 2 ast","Scovens,Josh","14 pts, 0 reb, 2 ast","Rubin,Miles",17,7,0,25,0,0,0,0
20260209080006-2808113,02/09/26,2025-26,Mid-Atlantic Christ.,Home,Regular Season,"Belk Arena, Davidson, NC",16-9,2-11,114,53,W,61,No,0,50,17,64,36,Davidson,33,28,0,0,Blowout win,41,67,61.2,20,69,29.0,15,30,50.0,1,11,9.1,17,20,85.0,12,17,70.6,51,27,24,13,13,38,14,27,4,13,13,0,8,8,13,1,65,27,38,52,34,18,9,17,2,20,7,0,0,0 0,0 0,,0,0,1,1,0,0,0,"Joses,Manie",14,8,1,20,"Blums,Roberts","14 pts, 2 reb, 4 ast","Friedrichsen,Parker","13 pts, 1 reb, 1 ast","Rodgers,Keondre",9,3,1,18,1,0,0,0
20260215053105-2749420,02/15/26,2025-26,Dayton,Away,Regular Season,"University of Dayton Arena, Dayton, OH",15-11,17-9,59,70,L,-11,No,0,26,34,33,36,Opponent,8,-3,0,0,Controlled loss,22,50,44.0,22,48,45.8,8,21,38.1,5,15,33.3,7,11,63.6,21,24,87.5,18,39,-21,5,14,13,25,12,16,10,16,-6,9,7,6,3,15,19,-4,26,32,14,13,8,16,5,6,1,1,0 0,0 0,,0,0,0,0,0,0,0,"Friedrichsen,Parker",21,3,3,32,"Scovens,Josh","15 pts, 2 reb, 1 ast","Blums,Roberts","9 pts, 0 reb, 0 ast","Montgomery,De'Shayne",13,4,0,29,0,0,1,0
20260221032446-2742468,02/21/26,2025-26,Fordham,Away,Regular Season,"Rose Hill Gym, Bronx, NY",16-12,17-12,59,63,L,-4,No,0,22,29,37,34,Opponent,7,3,0,0,Close loss,22,50,44.0,21,42,50.0,10,22,45.5,3,13,23.1,5,16,31.2,18,28,64.3,33,31,2,11,7,22,24,15,13,14,11,3,2,10,3,2,30,13,17,14,32,3,23,8,10,5,5,5,4,0 0,0 0,,1,0,0,0,0,0,0,"Blums,Roberts",16,6,1,30,"Friedrichsen,Parker","13 pts, 2 reb, 1 ast","Platteeuw,Ian","8 pts, 4 reb, 3 ast","Reaves,DeJour",21,4,2,30,0,0,0,0
20260301022212-2758373,03/01/26,2025-26,La Salle,Home,Regular Season,"Belk Arena, Davidson, NC",19-11,8-22,71,64,W,7,No,0,33,27,38,37,Davidson,6,1,0,0,Controlled win,25,53,47.2,18,53,34.0,8,20,40.0,5,15,33.3,13,21,61.9,23,27,85.2,37,31,6,9,8,28,23,14,10,13,10,3,7,8,6,4,37,10,27,30,26,9,7,14,6,7,12,5,3,0 0,0 0,,0,0,0,0,0,0,0,"Blums,Roberts",17,4,3,28,"Scovens,Josh","16 pts, 3 reb, 1 ast","Brown,Devin","13 pts, 4 reb, 1 ast","Harris,Truth",17,1,2,31,0,0,0,0
20260304083319-2749484,03/04/26,2025-26,Saint Joseph's,Home,Regular Season,"Belk Arena, Davidson, NC",18-13,21-10,67,70,L,-3,No,0,35,37,32,33,Opponent,2,-1,0,0,Close loss,25,59,42.4,25,53,47.2,9,31,29.0,8,23,34.8,8,16,50.0,12,14,85.7,27,41,-14,4,7,23,34,11,13,3,13,-10,7,3,3,5,10,15,-5,26,34,17,5,5,8,12,15,15,7,0 0,0 0,,1,0,0,0,0,0,0,"Brown,Sam",20,3,2,33,"Friedrichsen,Parker","18 pts, 2 reb, 2 ast","Scovens,Josh","14 pts, 3 reb, 0 ast","Glover-Toscano,Jaiden",23,9,0,36,0,0,0,0
